Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,18.190001,18.270000,18.139999,18.150000,15.966038,1769200
2017-11-28,18.100000,18.280001,18.020000,18.260000,16.062803,2814000
2017-11-29,18.250000,18.290001,18.139999,18.219999,16.027617,4953600
2017-11-30,18.230000,18.240000,18.080000,18.100000,15.922054,3257000
2017-12-01,18.049999,18.070000,17.820000,17.980000,15.816492,4792100
2017-12-04,18.100000,18.160000,18.020000,18.090000,15.913258,3718400
2017-12-05,17.950001,18.020000,17.860001,17.870001,15.719730,3975000
2017-12-06,17.770000,17.820000,17.700001,17.719999,15.587779,3063300
2017-12-07,17.910000,18.180000,17.870001,18.129999,15.948444,2176500
2017-12-08,18.510000,18.559999,18.320000,18.549999,16.317905,9069100
2017-12-11,18.520000,18.549999,18.480000,18.510000,16.282721,7822400
2017-12-12,18.400000,18.459999,18.299999,18.430000,16.212347,4287600
2017-12-13,18.350000,18.410000,18.299999,18.309999,16.106789,3237900
2017-12-14,18.500000,18.540001,18.230000,18.250000,16.054008,1581400
2017-12-15,18.280001,18.280001,18.170000,18.180000,15.992428,2438700
2017-12-18,18.410000,18.469999,18.360001,18.400000,16.185957,3004600
2017-12-19,18.540001,18.549999,18.370001,18.500000,16.273926,2690200
2017-12-20,18.510000,18.549999,18.440001,18.459999,16.238737,1770400
2017-12-21,18.500000,18.650000,18.490000,18.549999,16.317905,1435000
2017-12-22,18.440001,18.480000,18.400000,18.469999,16.247534,1120400
2017-12-26,18.490000,18.540001,18.459999,18.490000,16.265129,1055200
2017-12-27,18.480000,18.520000,18.430000,18.440001,16.221144,969900
2017-12-28,18.510000,18.570000,18.469999,18.510000,16.282721,815400
2017-12-29,18.490000,18.510000,18.410000,18.459999,16.238737,1026300
2018-01-02,18.450001,18.510000,18.400000,18.480000,16.256330,1958900
2018-01-03,18.549999,18.660000,18.549999,18.600000,16.361891,2575300
2018-01-04,18.990000,19.129999,18.940001,18.969999,16.687370,3242900
2018-01-05,19.010000,19.120001,18.920000,19.110001,16.810526,1747000
2018-01-08,19.000000,19.040001,18.959999,18.990000,16.704964,1393900
2018-01-09,19.030001,19.150000,19.000000,19.100000,16.801727,2034200
2018-01-10,19.730000,19.790001,19.660000,19.680000,17.311937,2911900
2018-01-11,19.940001,20.059999,19.889999,20.049999,17.637413,3167500
2018-01-12,20.150000,20.330000,20.120001,20.309999,17.866131,2330800
2018-01-16,20.190001,20.219999,20.110001,20.170000,17.742975,3154300
2018-01-17,20.110001,20.340000,20.040001,20.250000,17.813349,2471900
2018-01-18,20.219999,20.270000,20.110001,20.219999,17.786959,3025700
2018-01-19,20.180000,20.299999,20.100000,20.270000,17.830944,4230400
2018-01-22,20.410000,20.580000,20.400000,20.570000,18.094843,2397900
2018-01-23,20.000000,20.209999,19.990000,20.190001,17.760571,5958500
2018-01-24,20.160000,20.250000,20.120001,20.219999,17.786959,3354500
2018-01-25,20.260000,20.400000,20.150000,20.280001,17.839741,4207400
2018-01-26,20.200001,20.309999,20.150000,20.299999,17.857334,2601700
2018-01-29,20.170000,20.280001,20.110001,20.240000,17.804552,3954700
2018-01-30,20.049999,20.070000,19.940001,19.990000,17.584633,5218900
2018-01-31,19.850000,19.889999,19.639999,19.700001,17.329531,3054200
2018-02-01,19.580000,19.740000,19.500000,19.680000,17.311937,2477400
2018-02-02,19.670000,19.700001,19.350000,19.350000,17.021643,2353000
2018-02-05,19.340000,19.520000,18.680000,18.770000,16.511435,5234000
2018-02-06,18.709999,19.020000,18.600000,19.000000,16.713762,7656600
2018-02-07,18.809999,18.990000,18.680000,18.730000,16.476248,5197600
2018-02-08,18.799999,18.799999,18.209999,18.219999,16.027617,4364500
2018-02-09,18.049999,18.299999,17.750000,18.219999,16.027617,5842000
2018-02-12,18.219999,18.450001,18.120001,18.320000,16.115585,5380800
2018-02-13,18.170000,18.219999,18.070000,18.190001,16.001225,4231300
2018-02-14,17.920000,18.520000,17.910000,18.500000,16.273926,5065000
2018-02-15,18.559999,18.570000,18.370001,18.510000,16.282721,3686100
