"No.","Time","Source","Destination","Protocol","Length","Info"
"53","6.826698787","10.0.2.15","216.58.214.3","TCP","54","52242  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"54","6.829840014","142.250.179.132","10.0.2.15","TLSv1.3","1689","Application Data, Application Data"
"55","6.829866343","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1500 Ack=22622 Win=62780 Len=0"
"56","6.830012042","142.250.179.132","10.0.2.15","TLSv1.3","977","Application Data, Application Data"
"57","6.830346736","142.250.179.132","10.0.2.15","TLSv1.3","93","Application Data"
"58","6.835762717","10.0.2.15","216.58.214.3","TLSv1.3","701","Client Hello"
"59","6.836293081","216.58.214.3","10.0.2.15","TCP","60","443  >  52242 [ACK] Seq=1 Ack=648 Win=65535 Len=0"
"60","6.836339646","10.0.2.15","216.58.214.3","TLSv1.3","60","Change Cipher Spec"
"61","6.836379776","10.0.2.15","216.58.214.3","TLSv1.3","224","Application Data"
"62","6.836755993","216.58.214.3","10.0.2.15","TCP","60","443  >  52242 [ACK] Seq=1 Ack=654 Win=65535 Len=0"
"63","6.836756100","216.58.214.3","10.0.2.15","TCP","60","443  >  52242 [ACK] Seq=1 Ack=824 Win=65535 Len=0"
"64","6.837157461","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1500 Ack=23584 Win=62780 Len=0"
"65","6.837207193","10.0.2.15","142.250.179.132","TLSv1.3","93","Application Data"
"66","6.837762993","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [ACK] Seq=23584 Ack=1539 Win=65535 Len=0"
"67","6.845287568","216.58.214.3","10.0.2.15","TLSv1.3","909","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"68","6.845319309","10.0.2.15","216.58.214.3","TCP","54","52242  >  443 [ACK] Seq=824 Ack=856 Win=63385 Len=0"
"69","6.849085335","10.0.2.15","216.58.214.3","TLSv1.3","138","Application Data, Application Data"
"70","6.849587495","216.58.214.3","10.0.2.15","TCP","60","443  >  52242 [ACK] Seq=856 Ack=908 Win=65535 Len=0"
"71","6.859604742","10.0.2.15","216.58.214.3","TLSv1.3","85","Application Data"
"72","6.860027019","216.58.214.3","10.0.2.15","TCP","60","443  >  52242 [ACK] Seq=856 Ack=939 Win=65535 Len=0"
"73","7.080830690","142.250.179.132","10.0.2.15","TLSv1.3","4529","Application Data, Application Data, Application Data, Application Data"
"74","7.081112854","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1539 Ack=28059 Win=61320 Len=0"
"75","7.081247717","142.250.179.132","10.0.2.15","TLSv1.3","3964","Application Data, Application Data, Application Data, Application Data"
"76","7.081347988","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1539 Ack=31969 Win=58400 Len=0"
"77","7.084722125","142.250.179.132","10.0.2.15","TLSv1.3","4378","Application Data, Application Data, Application Data, Application Data"
"78","7.084722339","142.250.179.132","10.0.2.15","TLSv1.3","6966","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"79","7.084861072","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1539 Ack=43205 Win=49640 Len=0"
"80","7.094110764","142.250.179.132","10.0.2.15","TLSv1.3","1304","Application Data"
"81","7.095294909","142.250.179.132","10.0.2.15","TLSv1.3","2554","Application Data, Application Data"
"82","7.095295143","142.250.179.132","10.0.2.15","TLSv1.3","2554","Application Data, Application Data"
"83","7.095338422","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1539 Ack=46955 Win=52560 Len=0"
"84","7.095524974","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1539 Ack=49455 Win=55480 Len=0"
"85","7.097314622","142.250.179.132","10.0.2.15","TLSv1.3","1304","Application Data"
"86","7.097314852","142.250.179.132","10.0.2.15","TLSv1.3","2554","Application Data, Application Data"
