Date,Open,High,Low,Close
12/31/2019,"5.9478","5.9517","5.9444","5.9489"
12/30/2019,"5.9502","5.9509","5.9396","5.9477"
12/27/2019,"5.9336","5.9601","5.9327","5.9502"
12/26/2019,"5.9335","5.9440","5.9312","5.9335"
12/25/2019,"5.9469","5.9488","5.9312","5.9350"
12/24/2019,"5.9495","5.9564","5.9354","5.9468"
12/23/2019,"5.9400","5.9503","5.9209","5.9494"
12/20/2019,"5.9413","5.9436","5.9081","5.9399"
12/19/2019,"5.9268","5.9448","5.9046","5.9414"
12/18/2019,"5.8865","5.9312","5.8838","5.9269"
12/17/2019,"5.8499","5.8899","5.8454","5.8866"
12/16/2019,"5.8082","5.8588","5.8062","5.8494"
12/13/2019,"5.7913","5.8257","5.7704","5.8082"
12/12/2019,"5.8077","5.8107","5.7641","5.7912"
12/11/2019,"5.8060","5.8184","5.7955","5.8074"
12/10/2019,"5.8112","5.8185","5.7907","5.8059"
12/09/2019,"5.7766","5.8172","5.7761","5.8113"
12/06/2019,"5.7486","5.7898","5.7450","5.7766"
12/05/2019,"5.7508","5.7688","5.7393","5.7487"
12/04/2019,"5.7432","5.7586","5.7330","5.7507"
12/03/2019,"5.7415","5.7647","5.7302","5.7431"
12/02/2019,"5.7470","5.7639","5.7353","5.7416"
11/29/2019,"5.7583","5.7669","5.7375","5.7470"
11/28/2019,"5.7778","5.7833","5.7562","5.7576"
11/27/2019,"5.7597","5.7913","5.7541","5.7779"
11/26/2019,"5.7421","5.7700","5.7353","5.7599"
11/25/2019,"5.7133","5.7536","5.7036","5.7422"
11/22/2019,"5.6968","5.7236","5.6913","5.7132"
11/21/2019,"5.6998","5.7095","5.6844","5.6967"
11/20/2019,"5.6989","5.7217","5.6867","5.6996"
11/19/2019,"5.7368","5.7442","5.6957","5.6990"
11/18/2019,"5.7453","5.7535","5.7193","5.7369"
11/15/2019,"5.7473","5.7699","5.7373","5.7453"
11/14/2019,"5.7401","5.7799","5.7393","5.7474"
11/13/2019,"5.7777","5.7818","5.7336","5.7403"
11/12/2019,"5.7733","5.7822","5.7635","5.7776"
11/11/2019,"5.7670","5.7946","5.7608","5.7734"
11/08/2019,"5.7518","5.7710","5.7444","5.7668"
11/07/2019,"5.7509","5.7638","5.7313","5.7515"
11/06/2019,"5.7536","5.7713","5.7472","5.7511"
11/05/2019,"5.7385","5.7635","5.7189","5.7537"
11/04/2019,"5.7123","5.7413","5.6830","5.7387"
11/01/2019,"5.7136","5.7396","5.7007","5.7135"
10/31/2019,"5.7017","5.7263","5.6982","5.7139"
10/30/2019,"5.7379","5.7705","5.6976","5.7020"
10/29/2019,"5.7313","5.7533","5.7237","5.7381"
10/28/2019,"5.7748","5.7764","5.7134","5.7314"
10/25/2019,"5.7653","5.7917","5.7578","5.7748"
10/24/2019,"5.7344","5.7790","5.7325","5.7652"
10/23/2019,"5.8085","5.8110","5.7253","5.7348"
10/22/2019,"5.8582","5.8637","5.7885","5.8084"
10/21/2019,"5.7920","5.8668","5.7865","5.8583"
10/18/2019,"5.8298","5.8321","5.7561","5.7908"
10/17/2019,"5.8871","5.9315","5.8168","5.8299"
10/16/2019,"5.9165","5.9321","5.8713","5.8870"
10/15/2019,"5.9272","5.9328","5.8606","5.9161"
10/14/2019,"5.8857","5.9382","5.8851","5.9271"
10/11/2019,"5.8361","5.8979","5.8233","5.8853"
10/10/2019,"5.8712","5.8985","5.8188","5.8367"
10/09/2019,"5.8318","5.8760","5.8185","5.8708"
10/08/2019,"5.8332","5.8467","5.7833","5.8317"
10/07/2019,"5.6962","5.8452","5.6962","5.8328"
10/04/2019,"5.6964","5.7127","5.6851","5.6962"
10/03/2019,"5.7017","5.7135","5.6704","5.6960"
10/02/2019,"5.7233","5.7581","5.6959","5.7016"
10/01/2019,"5.6494","5.7324","5.6426","5.7231"
09/30/2019,"5.6708","5.6772","5.6356","5.6489"
09/27/2019,"5.6667","5.6892","5.6526","5.6708"
09/26/2019,"5.6700","5.6960","5.6509","5.6666"
09/25/2019,"5.6978","5.7117","5.6687","5.6701"
09/24/2019,"5.7175","5.7221","5.6724","5.6973"
09/23/2019,"5.7439","5.7441","5.7113","5.7177"
09/20/2019,"5.7188","5.7495","5.6880","5.7439"
09/19/2019,"5.6771","5.7223","5.6720","5.7189"
09/18/2019,"5.7014","5.7078","5.6607","5.6772"
09/17/2019,"5.7288","5.7407","5.6920","5.7015"
09/16/2019,"5.6862","5.7426","5.6862","5.7289"
09/13/2019,"5.6592","5.6935","5.6541","5.6861"
09/12/2019,"5.7495","5.7693","5.6511","5.6591"
09/11/2019,"5.7696","5.7923","5.7455","5.7516"
09/10/2019,"5.7508","5.7883","5.7443","5.7682"
09/09/2019,"5.7139","5.7650","5.7064","5.7511"
09/06/2019,"5.6916","5.7295","5.6881","5.7134"
09/05/2019,"5.6673","5.7016","5.6487","5.6920"
09/04/2019,"5.7294","5.7347","5.6504","5.6670"
09/03/2019,"5.8074","5.8232","5.7225","5.7293"
09/02/2019,"5.8310","5.8405","5.7994","5.8073"
08/30/2019,"5.8390","5.8514","5.8172","5.8306"
08/29/2019,"5.8147","5.8485","5.8107","5.8400"
08/28/2019,"5.8283","5.8379","5.7939","5.8144"
08/27/2019,"5.8249","5.8587","5.8022","5.8290"
08/26/2019,"5.7597","5.9490","5.7597","5.8248"
08/23/2019,"5.7689","5.7774","5.7420","5.7599"
08/22/2019,"5.7174","5.7900","5.7147","5.7688"
08/21/2019,"5.7320","5.7388","5.7035","5.7175"
08/20/2019,"5.6607","5.7485","5.6403","5.7300"
08/19/2019,"5.5784","5.6732","5.5615","5.6605"
08/16/2019,"5.5680","5.5867","5.5347","5.5785"
08/15/2019,"5.6133","5.6160","5.5471","5.5679"
08/14/2019,"5.5610","5.6297","5.5610","5.6137"
08/13/2019,"5.5642","5.6352","5.5483","5.5611"
08/12/2019,"5.4923","5.5748","5.4911","5.5643"
08/09/2019,"5.4760","5.5140","5.4673","5.4917"
08/08/2019,"5.4928","5.5148","5.4511","5.4759"
08/07/2019,"5.5206","5.5333","5.4686","5.4924"
08/06/2019,"5.5714","5.5936","5.5059","5.5205"
08/05/2019,"5.5598","5.6185","5.5315","5.5715"
08/02/2019,"5.6052","5.6299","5.5479","5.5597"
08/01/2019,"5.5865","5.6285","5.5620","5.6049"
07/31/2019,"5.5590","5.6211","5.5129","5.5864"
07/30/2019,"5.6148","5.6220","5.5498","5.5589"
07/29/2019,"5.6719","5.6719","5.6019","5.6145"
07/26/2019,"5.7026","5.7064","5.6195","5.6718"
07/25/2019,"5.7086","5.7397","5.6504","5.7027"
07/24/2019,"5.7180","5.7368","5.6931","5.7087"
07/23/2019,"5.6795","5.7252","5.6691","5.7178"
07/22/2019,"5.6551","5.6915","5.6483","5.6809"
07/19/2019,"5.6185","5.6693","5.6182","5.6548"
07/18/2019,"5.6846","5.7095","5.6152","5.6179"
07/17/2019,"5.7110","5.7182","5.6772","5.6847"
07/16/2019,"5.7146","5.7238","5.6978","5.7118"
07/15/2019,"5.7199","5.7333","5.6968","5.7149"
07/12/2019,"5.6735","5.7774","5.6703","5.7199"
07/11/2019,"5.6756","5.6914","5.6551","5.6736"
07/10/2019,"5.7333","5.7548","5.6697","5.6761"
07/09/2019,"5.7366","5.7459","5.6860","5.7334"
07/08/2019,"5.6285","5.7999","5.6285","5.7367"
07/05/2019,"5.5952","5.6445","5.5933","5.6288"
07/04/2019,"5.6243","5.6272","5.5843","5.5953"
07/03/2019,"5.6564","5.6655","5.6068","5.6245"
07/02/2019,"5.6501","5.7002","5.6308","5.6574"
07/01/2019,"5.7921","5.7921","5.6239","5.6503"
06/28/2019,"5.7724","5.7991","5.7509","5.7925"
