Date,Open,High,Low,Close
12/31/2020,"7.3790","7.4923","7.3471","7.4370"
12/30/2020,"7.3839","7.3954","7.3048","7.3778"
12/29/2020,"7.4450","7.4775","7.3455","7.3865"
12/28/2020,"7.5575","7.5865","7.4071","7.4466"
12/25/2020,"7.5801","7.5889","7.5330","7.5575"
12/24/2020,"7.6398","7.6770","7.5521","7.5797"
12/23/2020,"7.6570","7.6665","7.6210","7.6397"
12/22/2020,"7.6550","7.6760","7.6167","7.6562"
12/21/2020,"7.6613","7.7359","7.6278","7.6553"
12/18/2020,"7.7009","7.7546","7.6143","7.6290"
12/17/2020,"7.7999","7.8037","7.6908","7.7010"
12/16/2020,"7.8381","7.8452","7.7628","7.7997"
12/15/2020,"7.8534","7.8694","7.8181","7.8350"
12/14/2020,"7.8612","7.9376","7.8301","7.8533"
12/11/2020,"7.8943","8.0287","7.8159","7.8612"
12/10/2020,"7.8263","7.9245","7.8219","7.8872"
12/09/2020,"7.8161","7.8506","7.7948","7.8249"
12/08/2020,"7.8033","7.8466","7.7922","7.8151"
12/07/2020,"7.8023","7.8720","7.7973","7.8042"
12/04/2020,"7.7739","7.8415","7.7573","7.8047"
12/03/2020,"7.8546","7.9181","7.7528","7.7753"
12/02/2020,"7.8211","7.8821","7.7788","7.8526"
12/01/2020,"7.8265","7.9185","7.8001","7.8252"
11/30/2020,"7.8354","7.8681","7.7439","7.8323"
11/27/2020,"7.8713","7.8916","7.7665","7.8352"
11/26/2020,"7.9315","7.9658","7.8524","7.8701"
11/25/2020,"8.0019","8.0104","7.9077","7.9319"
11/24/2020,"7.8844","8.0487","7.8533","7.9997"
11/23/2020,"7.6359","7.9504","7.6359","7.8842"
11/20/2020,"7.5491","7.6936","7.5299","7.6375"
11/19/2020,"7.7059","7.7345","7.5197","7.5516"
11/18/2020,"7.7012","7.7909","7.6714","7.7064"
11/17/2020,"7.6986","7.7975","7.6630","7.7059"
11/16/2020,"7.6634","7.7585","7.6065","7.6983"
11/13/2020,"7.6876","7.7481","7.6028","7.6657"
11/12/2020,"7.8005","7.8997","7.6617","7.6877"
11/11/2020,"8.1517","8.2043","7.7849","7.8007"
11/10/2020,"8.0697","8.3781","8.0678","8.1453"
11/09/2020,"8.5248","8.5248","8.0034","8.0705"
11/06/2020,"8.4220","8.5803","8.4060","8.5249"
11/05/2020,"8.4279","8.4800","8.4158","8.4218"
11/04/2020,"8.4030","8.5232","8.4004","8.4281"
11/03/2020,"8.4235","8.5436","8.3920","8.4021"
11/02/2020,"8.3468","8.4460","8.3418","8.4236"
10/30/2020,"8.2928","8.3875","8.2689","8.3465"
10/29/2020,"8.2593","8.3304","8.2591","8.2924"
10/28/2020,"8.1848","8.3236","8.1848","8.2590"
10/27/2020,"8.0878","8.1968","8.0839","8.1836"
10/26/2020,"7.9647","8.0975","7.9592","8.0877"
10/23/2020,"7.9373","7.9771","7.9145","7.9640"
10/22/2020,"7.8117","7.9792","7.7808","7.9388"
10/21/2020,"7.8656","7.8858","7.7888","7.8118"
10/20/2020,"7.8828","7.9085","7.8564","7.8654"
10/19/2020,"7.9309","7.9400","7.8712","7.8816"
10/16/2020,"7.9354","7.9569","7.8870","7.9381"
10/15/2020,"7.9100","7.9521","7.9076","7.9355"
10/14/2020,"7.9217","7.9592","7.8989","7.9101"
10/13/2020,"7.8851","7.9290","7.8752","7.9219"
10/12/2020,"7.8582","7.9134","7.8489","7.8852"
10/09/2020,"7.9453","7.9572","7.8395","7.8597"
10/08/2020,"7.8845","7.9465","7.8761","7.9454"
10/07/2020,"7.7994","7.8940","7.7858","7.8846"
10/06/2020,"7.7637","7.8124","7.7438","7.8001"
10/05/2020,"7.7754","7.7884","7.7225","7.7645"
10/02/2020,"7.7499","7.7893","7.7253","7.7739"
10/01/2020,"7.7219","7.7808","7.6325","7.7482"
09/30/2020,"7.8194","7.8381","7.6995","7.7220"
09/29/2020,"7.8041","7.8592","7.7663","7.8195"
09/28/2020,"7.6646","7.8358","7.6500","7.8042"
09/25/2020,"7.6248","7.6790","7.5093","7.6648"
09/24/2020,"7.7041","7.7183","7.6167","7.6247"
09/23/2020,"7.6657","7.7110","7.6535","7.7040"
09/22/2020,"7.6345","7.6718","7.6216","7.6650"
09/21/2020,"7.5588","7.6403","7.5453","7.6339"
09/18/2020,"7.5500","7.5884","7.5325","7.5605"
09/17/2020,"7.5065","7.5624","7.4871","7.5498"
09/16/2020,"7.4918","7.5161","7.4788","7.5067"
09/15/2020,"7.4881","7.4985","7.4670","7.4923"
09/14/2020,"7.4761","7.5020","7.4669","7.4872"
09/11/2020,"7.4501","7.4813","7.4394","7.4763"
09/10/2020,"7.4888","7.4900","7.4025","7.4492"
09/09/2020,"7.4849","7.4987","7.4630","7.4911"
09/08/2020,"7.4576","7.4897","7.4529","7.4847"
09/07/2020,"7.4368","7.4671","7.4244","7.4574"
09/04/2020,"7.4369","7.4622","7.4125","7.4359"
09/03/2020,"7.3858","7.4535","7.3734","7.4368"
09/02/2020,"7.3691","7.4008","7.3591","7.3857"
09/01/2020,"7.3505","7.3759","7.3255","7.3694"
08/31/2020,"7.3341","7.3763","7.3165","7.3497"
08/28/2020,"7.3594","7.3762","7.2810","7.3333"
08/27/2020,"7.3701","7.3806","7.3052","7.3591"
08/26/2020,"7.3929","7.4174","7.3225","7.3699"
08/25/2020,"7.3789","7.4064","7.3707","7.3938"
08/24/2020,"7.3330","7.3846","7.3023","7.3781"
08/21/2020,"7.2991","7.3487","7.2083","7.3330"
08/20/2020,"7.2913","7.3546","7.2796","7.2990"
08/19/2020,"7.3740","7.3853","7.2407","7.2944"
08/18/2020,"7.3831","7.4002","7.3587","7.3734"
08/17/2020,"7.3692","7.3994","7.3624","7.3837"
08/14/2020,"7.3391","7.3868","7.3320","7.3701"
08/13/2020,"7.3317","7.3596","7.3000","7.3395"
08/12/2020,"7.2503","7.3382","7.2209","7.3325"
08/11/2020,"7.3350","7.3463","7.2061","7.2503"
08/10/2020,"7.2941","7.3675","7.2341","7.3355"
08/07/2020,"7.2411","7.3669","7.1417","7.2930"
08/06/2020,"7.0474","7.3101","7.0373","7.2399"
08/05/2020,"6.9007","7.0805","6.9003","7.0471"
08/04/2020,"6.9559","6.9813","6.8916","6.9011"
08/03/2020,"6.9725","6.9944","6.9493","6.9572"
07/31/2020,"6.9955","7.0114","6.9594","6.9721"
07/30/2020,"6.9824","7.0108","6.9668","6.9979"
07/29/2020,"6.9339","7.0028","6.9310","6.9828"
07/28/2020,"6.8620","6.9753","6.8560","6.9340"
07/27/2020,"6.8476","6.9282","6.8385","6.8625"
07/24/2020,"6.8442","6.8518","6.8393","6.8483"
07/23/2020,"6.8501","6.8596","6.8275","6.8437"
07/22/2020,"6.8247","6.8525","6.8215","6.8511"
07/21/2020,"6.8602","6.8602","6.8165","6.8248"
07/20/2020,"6.8587","6.8611","6.8468","6.8579"
07/17/2020,"6.8573","6.8764","6.8545","6.8577"
07/16/2020,"6.8572","6.8633","6.8525","6.8572"
07/15/2020,"6.8645","6.8679","6.8532","6.8573"
07/14/2020,"6.8603","6.8704","6.8533","6.8648"
07/13/2020,"6.8651","6.8729","6.8559","6.8605"
07/10/2020,"6.8624","6.8696","6.8550","6.8682"
07/09/2020,"6.8603","6.8672","6.8495","6.8623"
07/08/2020,"6.8594","6.8672","6.8475","6.8607"
07/07/2020,"6.8606","6.8681","6.8516","6.8597"
07/06/2020,"6.8637","6.8673","6.8405","6.8605"
07/03/2020,"6.8499","6.8813","6.8459","6.8632"
07/02/2020,"6.8480","6.8564","6.8415","6.8523"
07/01/2020,"6.8535","6.8562","6.8400","6.8479"
06/30/2020,"6.8551","6.8562","6.8408","6.8546"
06/29/2020,"6.8550","6.8570","6.8440","6.8550"
06/26/2020,"6.8541","6.8608","6.8455","6.8548"
06/25/2020,"6.8563","6.8616","6.8290","6.8551"
06/24/2020,"6.8510","6.8603","6.8422","6.8559"
06/23/2020,"6.8462","6.8605","6.8388","6.8513"
06/22/2020,"6.8530","6.8591","6.8346","6.8452"
06/19/2020,"6.8562","6.8601","6.8285","6.8529"
06/18/2020,"6.8458","6.8607","6.8355","6.8578"
06/17/2020,"6.8422","6.8600","6.8325","6.8450"
06/16/2020,"6.8378","6.8513","6.8259","6.8471"
06/15/2020,"6.8125","6.8620","6.8125","6.8376"
06/12/2020,"6.8415","6.8422","6.8051","6.8123"
06/11/2020,"6.7764","6.8558","6.7670","6.8416"
06/10/2020,"6.7954","6.7994","6.7635","6.7767"
06/09/2020,"6.7876","6.8090","6.7734","6.7976"
06/08/2020,"6.7700","6.7955","6.7605","6.7883"
06/05/2020,"6.7566","6.7878","6.7354","6.7698"
06/04/2020,"6.7433","6.7690","6.7244","6.7567"
06/03/2020,"6.7132","6.7679","6.6865","6.7432"
06/02/2020,"6.8145","6.8221","6.6875","6.7131"
06/01/2020,"6.8202","6.8262","6.8047","6.8143"
05/29/2020,"6.8148","6.8406","6.8085","6.8223"
05/28/2020,"6.7740","6.8232","6.7726","6.8146"
05/27/2020,"6.7281","6.7828","6.7218","6.7739"
05/26/2020,"6.8119","6.8182","6.6973","6.7282"
05/25/2020,"6.8147","6.8175","6.8025","6.8121"
05/22/2020,"6.7960","6.8266","6.7885","6.8159"
05/21/2020,"6.7912","6.8152","6.7843","6.7981"
05/20/2020,"6.7776","6.8026","6.7688","6.7913"
05/19/2020,"6.8854","6.8866","6.7558","6.7778"
05/18/2020,"6.9012","6.9012","6.8339","6.8856"
05/15/2020,"6.9224","6.9305","6.8999","6.9018"
05/14/2020,"6.9755","6.9853","6.9005","6.9225"
05/13/2020,"6.9976","6.9980","6.9695","6.9760"
05/12/2020,"7.0758","7.0774","6.9745","6.9987"
05/11/2020,"7.0891","7.1048","7.0617","7.0756"
05/08/2020,"7.0887","7.1699","7.0735","7.0871"
05/07/2020,"7.1987","7.2692","7.0749","7.1195"
05/06/2020,"7.0749","7.2035","7.0643","7.1988"
05/05/2020,"7.0442","7.0998","7.0266","7.0750"
05/04/2020,"7.0120","7.0522","7.0030","7.0437"
05/01/2020,"6.9872","7.0411","6.9835","7.0133"
04/30/2020,"6.9517","6.9930","6.9461","6.9887"
04/29/2020,"6.9870","6.9927","6.9443","6.9511"
04/28/2020,"6.9860","7.0009","6.9815","6.9871"
04/27/2020,"6.9757","6.9950","6.9524","6.9861"
04/24/2020,"6.9463","6.9953","6.9460","6.9734"
04/23/2020,"6.9797","6.9980","6.9241","6.9462"
04/22/2020,"6.9786","7.0006","6.9561","6.9796"
04/21/2020,"6.9394","6.9970","6.9380","6.9810"
04/20/2020,"6.9323","6.9537","6.8748","6.9398"
04/17/2020,"6.9408","6.9550","6.8306","6.9315"
04/16/2020,"6.9120","6.9575","6.8904","6.9410"
04/15/2020,"6.8173","6.9247","6.8159","6.9121"
04/14/2020,"6.7711","6.8232","6.7633","6.8160"
04/13/2020,"6.6984","6.7968","6.6984","6.7710"
04/10/2020,"6.6774","6.7244","6.6659","6.6974"
04/09/2020,"6.7737","6.7936","6.6219","6.6777"
04/08/2020,"6.7667","6.7943","6.7549","6.7734"
04/07/2020,"6.7827","6.7881","6.6975","6.7659"
04/06/2020,"6.7315","6.7928","6.7146","6.7824"
04/03/2020,"6.6137","6.7500","6.6107","6.7324"
04/02/2020,"6.7027","6.7116","6.5912","6.6153"
04/01/2020,"6.6149","6.7041","6.6143","6.7026"
03/31/2020,"6.5768","6.6190","6.5520","6.6158"
03/30/2020,"6.4550","6.5884","6.4435","6.5764"
03/27/2020,"6.3981","6.4705","6.3924","6.4540"
03/26/2020,"6.4169","6.5043","6.3815","6.3980"
03/25/2020,"6.4204","6.4693","6.3823","6.4170"
03/24/2020,"6.5616","6.5656","6.3939","6.4203"
03/23/2020,"6.5525","6.6088","6.5418","6.5615"
03/20/2020,"6.5438","6.5633","6.4667","6.5525"
03/19/2020,"6.4840","6.5493","6.4691","6.5442"
03/18/2020,"6.3967","6.4933","6.3919","6.4859"
03/17/2020,"6.4316","6.4941","6.3773","6.3971"
03/16/2020,"6.3321","6.4427","6.2831","6.4327"
03/13/2020,"6.3176","6.3380","6.2505","6.3337"
03/12/2020,"6.2102","6.3205","6.2072","6.3168"
03/11/2020,"6.1569","6.2113","6.1317","6.2101"
03/10/2020,"6.1444","6.1659","6.1037","6.1568"
03/09/2020,"6.0928","6.1941","6.0928","6.1448"
03/06/2020,"6.1107","6.1283","6.0743","6.0954"
03/05/2020,"6.0753","6.1337","6.0643","6.1108"
03/04/2020,"6.1084","6.1455","6.0630","6.0755"
