Date,Open,High,Low,Close
12/31/2018,"5.2725","5.3220","5.2709","5.2887"
12/28/2018,"5.2862","5.3012","5.2543","5.2725"
12/27/2018,"5.2762","5.3135","5.2708","5.2850"
12/26/2018,"5.3107","5.3113","5.2740","5.2761"
12/25/2018,"5.2873","5.3410","5.2872","5.3001"
12/24/2018,"5.3181","5.3219","5.2838","5.2874"
12/21/2018,"5.2632","5.3213","5.2463","5.3181"
12/20/2018,"5.2852","5.3218","5.2243","5.2624"
12/19/2018,"5.3450","5.3532","5.2184","5.2850"
12/18/2018,"5.3697","5.3902","5.3326","5.3451"
12/17/2018,"5.3635","5.3997","5.3635","5.3686"
12/14/2018,"5.3389","5.4219","5.3389","5.3635"
12/13/2018,"5.3480","5.3888","5.3053","5.3388"
12/12/2018,"5.3645","5.3961","5.3316","5.3479"
12/11/2018,"5.3252","5.4034","5.3085","5.3653"
12/10/2018,"5.3029","5.3548","5.2739","5.3251"
12/07/2018,"5.3384","5.3519","5.2646","5.3029"
12/06/2018,"5.3262","5.4014","5.3217","5.3383"
12/05/2018,"5.3884","5.4528","5.3094","5.3256"
12/04/2018,"5.2507","5.4555","5.2329","5.3882"
12/03/2018,"5.2160","5.2858","5.1469","5.2508"
11/30/2018,"5.1625","5.2571","5.1514","5.2160"
11/29/2018,"5.2210","5.2288","5.1331","5.1604"
11/28/2018,"5.2728","5.2785","5.2072","5.2216"
11/27/2018,"5.2478","5.2970","5.2258","5.2734"
11/26/2018,"5.2875","5.2961","5.2195","5.2477"
11/23/2018,"5.3010","5.3121","5.2624","5.2875"
11/22/2018,"5.3083","5.3420","5.2769","5.3025"
11/21/2018,"5.3777","5.3978","5.2793","5.3078"
11/20/2018,"5.3170","5.4387","5.3112","5.3776"
11/19/2018,"5.3318","5.3684","5.3047","5.3136"
11/16/2018,"5.3482","5.3951","5.3188","5.3318"
11/15/2018,"5.4610","5.4715","5.3075","5.3481"
11/14/2018,"5.4774","5.4982","5.4523","5.4634"
11/13/2018,"5.4674","5.5299","5.4565","5.4776"
11/12/2018,"5.4606","5.5170","5.4288","5.4666"
11/09/2018,"5.4583","5.5423","5.4510","5.4606"
11/08/2018,"5.3609","5.4762","5.3585","5.4580"
